CLASS,CLASS_CODE,NAME,SECTOR,RES_CNT,DWELL_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MALE_CNT,FEMALE_CNT,CLIENTS,Latitude,Longitude
Residential,1,CAPITOL HILL,CENTRE,4744,2440,836,878,588,18,534,56,2492,2233,2862,51.0711001,-114.1012864
Residential,1,CARRINGTON,NORTH,572,452,151,264,141,0,0,47,282,275,336,51.1830495,-114.0802963
Residential,1,CASTLERIDGE,NORTHEAST,6127,1979,1201,1458,227,0,119,0,3117,2928,3282,51.1059774,-113.9598199
Residential,1,CEDARBRAE,SOUTH,6094,2624,1869,1337,592,0,163,492,2983,3089,2845,50.9563182,-114.1293235
Residential,1,CHAPARRAL,SOUTH,12654,4179,3674,3290,311,0,193,382,6284,6342,6294,50.8835939,-114.0212652
Residential,1,CHARLESWOOD,NORTHWEST,3569,1489,1089,1297,34,0,119,0,1862,1694,1653,51.0841614,-114.1148169
Residential,1,CHINATOWN,CENTRE,2471,1989,378,0,0,0,1967,7,1205,1250,1437,51.0506542,-114.0626107
Residential,1,CHINOOK PARK,SOUTH,1662,588,464,490,0,0,96,0,805,850,648,50.9831231,-114.0893006
Residential,1,CHRISTIE PARK,WEST,2128,727,653,475,94,0,0,156,1006,1115,715,51.0384338,-114.1765494
Residential,1,CITADEL,NORTHWEST,10077,3488,2925,2821,0,0,224,431,4970,5074,5177,51.145091,-114.1757304
Residential,1,CITYSCAPE,NORTHEAST,3104,970,706,695,14,0,1,260,1551,1548,1756,51.1485487,-113.962668
Residential,1,CLIFF BUNGALOW,CENTRE,1895,1349,273,162,18,9,946,73,929,942,1478,51.0344365,-114.0738326
Residential,1,COACH HILL,WEST,3244,1482,1163,634,101,1,237,508,1512,1711,1470,51.0554215,-114.1797368
Residential,1,COLLINGWOOD,NORTHWEST,2249,988,692,733,96,0,122,5,1121,1122,1015,51.0837643,-114.1018147
Residential,1,COPPERFIELD,SOUTHEAST,13823,5012,3966,3050,50,0,969,921,6963,6828,8223,50.912048,-113.9320979
Residential,1,CORAL SPRINGS,NORTHEAST,5801,1592,1300,1438,1,0,0,36,2959,2831,2783,51.1022185,-113.9289404
Residential,1,CORNERSTONE,NORTHEAST,2648,1285,708,595,264,69,219,128,1409,1225,1586,51.16028,-113.9396076
Residential,1,COUGAR RIDGE,WEST,6997,2215,1929,1915,92,0,0,206,3473,3506,3673,51.0707098,-114.210968
Residential,1,COUNTRY HILLS,NORTH,3767,1435,1121,979,0,0,200,244,1842,1915,1875,51.1430015,-114.0785365
Residential,1,COUNTRY HILLS VILLAGE,NORTH,2597,1352,826,0,0,0,961,389,1175,1414,1159,51.1575003,-114.0615249
Residential,1,COVENTRY HILLS,NORTH,17667,5595,4414,5098,185,0,0,224,8870,8664,9742,51.1635964,-114.0562933
Residential,1,CRANSTON,SOUTHEAST,19884,7141,5933,5332,376,0,678,739,9874,9970,10359,50.8790822,-113.975431
Residential,1,CRESCENT HEIGHTS,CENTRE,6620,3882,1225,1119,103,25,2208,267,3312,3282,4341,51.0596291,-114.0608864
Residential,1,CRESTMONT,WEST,1690,673,493,615,42,0,0,16,848,838,889,51.0852147,-114.2650718
Residential,1,CURRIE BARRACKS,WEST,1262,617,388,161,8,2,279,113,595,665,754,51.0188885,-114.1254217
Residential,1,DALHOUSIE,NORTHWEST,8940,3742,2202,1931,308,0,861,570,4427,4453,4320,51.106849,-114.1540951
Residential,1,DEER RIDGE,SOUTH,3973,1510,1064,857,139,0,0,494,1901,2059,1904,50.9272756,-114.0194181
Residential,1,DEER RUN,SOUTH,5065,2111,1641,1561,117,0,216,206,2557,2493,2224,50.9202967,-114.0070381
Industrial,2,DEERFOOT BUSINESS CENTRE,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,50.9820578,-114.04219532902272
Residential,1,DIAMOND COVE,SOUTH,690,271,256,271,0,0,0,0,357,333,236,50.946477,-114.0227216
Residential,1,DISCOVERY RIDGE,WEST,4280,1669,1374,940,99,0,568,62,2100,2173,1890,51.0141399,-114.207297
Residential,1,DOVER,EAST,10351,4866,2669,2080,790,0,1149,549,5354,4975,5002,51.0207336,-113.9897879
Residential,1,DOWNTOWN COMMERCIAL CORE,CENTRE,8683,5679,342,1,0,1,5645,20,4387,4160,6270,51.0473777,-114.0671989
Residential,1,DOWNTOWN EAST VILLAGE,CENTRE,3893,2699,589,0,0,1,2680,14,2301,1574,2597,51.0464963,-114.0506433
Residential,1,DOWNTOWN WEST END,CENTRE,2785,2061,561,3,0,0,2055,0,1452,1326,1834,51.0475537,-114.0834198
Residential,1,EAGLE RIDGE,SOUTH,302,110,100,98,0,0,10,0,156,138,92,50.9851159,-114.0991524
Industrial,2,EAST FAIRVIEW INDUSTRIAL,SOUTH,0,2,0,0,0,0,0,0,0,0,0,50.9845303,-114.0387994
Industrial,2,EAST SHEPARD INDUSTRIAL,SOUTHEAST,0,1,0,1,0,0,0,0,0,0,0,50.9616439,-113.9512243
Industrial,2,EASTFIELD,EAST,0,0,0,0,0,0,0,0,0,0,0,51.0111879,-113.9662296
Residential,1,EAU CLAIRE,CENTRE,2030,1355,677,1,0,2,1309,42,1017,1009,1042,51.0525789,-114.0703115
Residential,1,EDGEMONT,NORTHWEST,15395,5437,4501,4403,258,0,291,453,7548,7652,6278,51.1286226,-114.1427105
Residential,1,ELBOW PARK,CENTRE,3342,1195,1034,1182,2,0,0,0,1677,1651,1287,51.0206343,-114.0784467
Residential,1,ELBOYA,CENTRE,1754,771,383,471,11,0,249,20,893,859,852,51.0115745,-114.0739599
Residential,1,ERIN WOODS,EAST,7049,2494,1692,1846,50,0,119,271,3576,3456,3575,51.0193453,-113.9683669
Residential,1,ERLTON,CENTRE,1270,733,433,126,51,2,399,110,650,617,783,51.0290858,-114.0612758
Residential,1,EVANSTON,NORTH,17685,5686,4631,4302,363,0,68,922,8747,8841,9749,51.1712925,-114.1163524
Residential,1,EVERGREEN,SOUTH,21500,7256,5824,5332,337,4,918,641,10530,10909,10616,50.9163788,-114.1115784
Residential,1,FAIRVIEW,SOUTH,3646,1613,1019,1253,0,0,313,0,1828,1814,1877,50.987095,-114.0590715
Industrial,2,FAIRVIEW INDUSTRIAL,SOUTH,0,1,0,0,0,0,0,0,0,0,0,50.9915965,-114.0633169
Residential,1,FALCONRIDGE,NORTHEAST,10653,3565,1813,1862,544,1,212,597,5493,5147,5537,51.1026919,-113.9456487
Major Park,3,FISH CREEK PARK,SOUTH,0,0,0,0,0,0,0,0,0,0,0,50.9285364,-114.1406649
Industrial,2,FOOTHILLS,EAST,317,1,0,0,0,0,0,0,262,12,186,50.9958083,-113.971963
Residential,1,FOREST HEIGHTS,EAST,6496,2275,1232,927,473,0,30,578,3384,3089,3300,51.0470308,-113.9709784
Residential,1,FOREST LAWN,EAST,7814,3425,923,1375,342,16,228,767,4244,3559,4129,51.033333,-113.966667
Industrial,2,FOREST LAWN INDUSTRIAL,EAST,123,62,47,0,0,0,0,0,79,20,52,51.0346729,-113.951295
Industrial,2,FRANKLIN,NORTHEAST,0,3,0,0,0,0,0,0,0,0,0,51.0589571,-113.9875733
Residential,1,GARRISON GREEN,WEST,2060,730,468,262,72,0,252,141,927,1130,1016,51.0030963,-114.1246868
Residential,1,GARRISON WOODS,CENTRE,3116,1427,1025,426,212,0,469,304,1386,1716,1404,51.0173871,-114.1136206
Residential,1,GLAMORGAN,WEST,6522,3134,1664,1137,73,43,1039,818,3175,3319,3313,51.013442,-114.1516969
Residential,1,GLENBROOK,WEST,7442,3337,1596,891,750,2,762,720,3561,3864,3971,51.0233094,-114.1488625
Residential,1,GLENDALE,WEST,2765,1128,819,959,0,5,108,24,1365,1397,1265,51.034096,-114.1522951
Industrial,2,GLENDEER BUSINESS PARK,SOUTH,0,0,0,0,0,0,0,0,0,0,0,50.9890291,-114.0304243
Major Park,3,GLENMORE PARK,SOUTH,0,3,0,3,0,0,0,0,0,0,0,50.98820555,-114.10974679726687
Industrial,2,GOLDEN TRIANGLE,EAST,0,1,0,0,0,0,0,0,0,0,0,51.012322,-113.9833957
Industrial,2,GREAT PLAINS,EAST,0,0,0,0,0,0,0,0,0,0,0,50.9866379,-113.9390356
Residential,1,GREENVIEW,CENTRE,1906,1120,386,206,30,0,512,309,970,926,1143,51.0953824,-114.058469
Industrial,2,GREENVIEW INDUSTRIAL PARK,CENTRE,225,5,0,3,0,0,0,0,75,128,25,51.0853204,-114.0553234
Residential,1,GREENWOOD/GREENBRIAR,NORTHWEST,896,521,417,0,0,0,0,27,445,447,335,51.0906974,-114.2229573
Residential,1,HAMPTONS,NORTHWEST,7382,2484,2256,2106,160,0,0,215,3636,3697,3048,51.1456691,-114.1540178
Residential,1,HARVEST HILLS,NORTH,7420,2705,2106,2118,129,0,168,252,3699,3688,3701,51.1481976,-114.0537778
Residential,1,HASKAYNE,NORTHWEST,0,2,0,1,0,0,0,0,0,0,0,51.1177072,-114.2846345
Residential,1,HAWKWOOD,NORTHWEST,9248,3334,2962,3067,0,0,138,119,4596,4632,3867,51.129711,-114.175068
Residential,1,HAYSBORO,SOUTH,7080,3655,1834,1817,0,0,1774,9,3499,3558,3788,50.9739667,-114.0851928
Residential,1,HIDDEN VALLEY,NORTH,11566,3880,3357,3441,132,0,0,274,5846,5678,5811,51.1510854,-114.1126719
Industrial,2,HIGHFIELD,CENTRE,0,0,0,0,0,0,0,0,0,0,0,51.0148329,-114.0412027
Residential,1,HIGHLAND PARK,CENTRE,3838,2277,645,823,402,45,520,24,1986,1846,2277,51.085355,-114.0658089
Residential,1,HIGHWOOD,CENTRE,2258,1013,552,747,79,2,19,16,1118,1125,1134,51.0915467,-114.0766302
Residential,1,HILLHURST,CENTRE,6558,3011,1371,991,303,107,1352,113,3231,3302,4293,51.0554142,-114.0955638
Residential,1,HOMESTEAD,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.1209263,-113.9156913
Industrial,2,HORIZON,NORTHEAST,0,6,0,0,0,0,0,0,0,0,0,51.0877296,-113.9919091
Residential,1,HOTCHKISS,SOUTHEAST,0,1,0,1,0,0,0,0,0,0,0,50.9140741,-113.8944983
Residential,1,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,2798,1108,742,680,0,0,369,33,1329,1462,1076,51.0639873,-114.105914
Residential,1,HUNTINGTON HILLS,NORTH,13420,5634,3077,2953,556,9,527,1203,6629,6743,6425,51.1187237,-114.0682879
Residential,1,INGLEWOOD,CENTRE,4024,2387,1154,840,140,4,912,331,1984,2010,2428,51.0387997,-114.0274889
Residential,1,KELVIN GROVE,SOUTH,2305,903,426,354,16,0,505,26,1037,1265,906,50.990874,-114.0848305
Residential,1,KEYSTONE HILLS,NORTH,0,0,0,0,0,0,0,0,0,0,0,51.180661,-114.0250825
Residential,1,KILLARNEY/GLENGARRY,CENTRE,7685,3927,1952,1315,867,70,543,740,3803,3857,4740,51.0315785,-114.1297493
Residential,1,KINCORA,NORTH,6889,2508,1775,1486,82,0,743,184,3459,3419,3720,51.1584472,-114.1330259
Residential,1,KINGSLAND,SOUTH,4688,2422,707,654,199,5,1288,184,2389,2292,2673,50.9863244,-114.0773408
Residential,1,LAKE BONAVISTA,SOUTH,10293,4108,3516,3272,0,0,829,1,5130,5138,3941,50.9399872,-114.0514755
Residential,1,LAKEVIEW,WEST,5355,2342,1751,1688,81,0,332,230,2610,2734,2139,50.9975865,-114.1294176
Residential,1,LEGACY,SOUTH,6420,2766,1826,1081,356,14,1004,311,3125,3283,3864,50.8568931,-114.0025596
Residential,1,LINCOLN PARK,WEST,2617,1094,324,0,6,0,816,269,1167,1448,1402,51.0091676,-114.1298428
Residential,1,LIVINGSTON,NORTH,1477,838,474,564,102,0,59,109,719,687,938,51.1849776,-114.0648082
Residential,1,LOWER MOUNT ROYAL,CENTRE,3457,2430,536,52,22,6,2220,102,1780,1669,2726,51.036645,-114.0871388
Residential,1,MACEWAN GLEN,NORTH,4754,1786,1511,1515,66,0,0,185,2341,2403,2062,51.1368077,-114.114558
Residential,1,MAHOGANY,SOUTHEAST,11784,4507,3465,2901,400,0,913,268,5827,5926,6620,50.8987023,-113.9259052
Residential,1,MANCHESTER,CENTRE,1025,659,29,28,4,0,615,4,605,420,707,51.0068896,-114.0664735
Industrial,2,MANCHESTER INDUSTRIAL,CENTRE,0,3,0,0,0,0,0,0,0,0,0,51.011507,-114.0566438
Residential,1,MAPLE RIDGE,SOUTH,1916,819,728,808,0,0,0,0,955,957,779,50.9580978,-114.0387304
Residential,1,MARLBOROUGH,NORTHEAST,9162,3312,1878,2252,126,0,378,205,4806,4335,4656,51.0589228,-113.9698546
Residential,1,MARLBOROUGH PARK,NORTHEAST,8523,3143,2034,2056,75,0,59,630,4387,4113,4196,51.0598811,-113.9489467
Residential,1,MARTINDALE,NORTHEAST,14245,4270,2679,3553,52,0,0,166,7479,6721,7983,51.1181345,-113.9590416
Residential,1,MAYFAIR,CENTRE,432,156,141,156,0,0,0,0,219,213,153,50.995756,-114.0885414
Industrial,2,MAYLAND,NORTHEAST,0,2,0,0,0,1,0,0,0,0,0,51.0501887,-114.008473
Residential,1,MAYLAND HEIGHTS,NORTHEAST,5961,2783,1325,1292,328,21,622,284,2992,2960,3078,51.0605709,-114.0119053
Industrial,2,MCCALL,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.0881821,-114.0285233
Residential,1,MCKENZIE LAKE,SOUTHEAST,13406,4661,4117,4234,24,0,0,379,6735,6628,6285,50.9112823,-113.9826356
Residential,1,MCKENZIE TOWNE,SOUTHEAST,18283,7166,5355,3662,640,0,1496,1248,8995,9200,10035,50.9164994,-113.9643527
Residential,1,MEADOWLARK PARK,CENTRE,644,287,217,280,0,0,0,0,323,315,316,50.9979466,-114.0805013
Residential,1,MEDICINE HILL,WEST,0,0,0,0,0,0,0,0,0,0,0,51.0779215,-114.2003595
Industrial,2,MERIDIAN,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.0572591,-113.9962851
Residential,1,MIDNAPORE,SOUTH,7270,2898,1778,1341,445,0,664,419,3459,3796,2916,50.9107523,-114.0558442
Residential,1,MILLRISE,SOUTH,6900,2649,1977,1703,107,0,533,272,3303,3584,3293,50.9166091,-114.0893583
Residential,1,MISSION,CENTRE,4598,3479,881,73,2,0,3297,49,2202,2273,3440,51.0317576,-114.0667199
Residential,1,MONTEREY PARK,NORTHEAST,10372,3197,2484,2467,24,0,156,138,5177,5174,4802,51.0814733,-113.9284589
Residential,1,MONTGOMERY,NORTHWEST,4515,2013,1027,987,539,10,132,111,2216,2291,2636,51.0748016,-114.1624739
Residential,1,MOUNT PLEASANT,CENTRE,5889,2831,1556,1425,739,25,211,114,3022,2839,3385,51.0710293,-114.0775853
Residential,1,NEW BRIGHTON,SOUTHEAST,13103,4320,3537,3264,144,0,204,693,6592,6491,7591,50.9207264,-113.9470847
Residential,1,NOLAN HILL,NORTH,7505,2468,2145,1784,1,0,0,677,3728,3750,4342,51.1771597,-114.1632737
Industrial,2,NORTH AIRWAYS,NORTHEAST,0,3,0,0,0,0,0,0,0,0,0,51.0875506,-114.0080694
Residential,1,NORTH GLENMORE PARK,WEST,2391,1022,735,797,125,3,46,5,1205,1171,1088,51.0025334,-114.112903
Residential,1,NORTH HAVEN,NORTH,2359,1011,645,605,204,1,72,86,1173,1181,1018,51.0971348,-114.0887255
Residential,1,NORTH HAVEN UPPER,NORTH,599,246,225,245,0,0,0,0,309,286,233,51.1034552,-114.0853748
Major Park,3,NOSE HILL PARK,NORTHWEST,0,0,0,0,0,0,0,0,0,0,0,51.11115875,-114.11058823838056
Residential,1,OAKRIDGE,SOUTH,5690,2298,1910,1706,144,1,35,407,2803,2881,2285,50.9690109,-114.1279109
Residential,1,OGDEN,SOUTHEAST,8576,3875,2120,2142,515,2,327,549,4591,3965,4309,50.988422,-114.0092464
Industrial,2,OGDEN SHOPS,EAST,0,0,0,0,0,0,0,0,0,0,0,50.9947144,-113.997944
Residential,1,PALLISER,SOUTH,3672,1840,1014,468,184,156,710,319,1702,1961,1525,50.967469,-114.1107717
Residential,1,PANORAMA HILLS,NORTH,25710,8199,6094,5419,612,95,1169,804,12722,12758,13583,51.1609458,-114.0813223
Residential,1,PARKDALE,CENTRE,2566,1098,601,471,221,22,198,79,1278,1279,1259,51.0606831,-114.1391954
Residential,1,PARKHILL,CENTRE,1691,936,480,363,175,0,300,39,846,841,1009,51.0534234,-114.0625892
Residential,1,PARKLAND,SOUTH,3660,1448,1349,1353,10,0,70,14,1819,1830,1327,50.9240513,-114.0309993
Residential,1,PATTERSON,WEST,4202,2034,1412,573,168,0,669,624,1978,2216,1841,51.0622592,-114.1776768
Industrial,2,PEGASUS,NORTHEAST,0,1,0,0,0,0,0,0,0,0,0,51.0957383,-114.0059205
Residential,1,PENBROOKE MEADOWS,EAST,8554,3281,1794,1612,381,0,169,681,4486,4042,4310,51.0477397,-113.9469243
Residential,1,PINE CREEK,SOUTH,14,35,0,22,13,0,0,0,0,0,0,50.8576607,-114.0623985
Residential,1,PINERIDGE,NORTHEAST,10022,3912,2221,1732,596,0,773,631,5024,4973,4697,51.075298,-113.9478658
Residential,1,POINT MCKAY,CENTRE,1343,846,605,0,24,0,312,510,617,723,599,51.0601668,-114.146004
Residential,1,PUMP HILL,SOUTH,1640,562,400,383,50,0,61,66,747,891,442,50.9681214,-114.0989061
Residential,1,QUEENS PARK VILLAGE,CENTRE,455,188,0,0,0,0,0,188,218,227,281,51.0868027,-114.0731573
Residential,1,QUEENSLAND,SOUTH,4743,1905,1433,1174,216,0,60,391,2401,2323,2343,50.9384595,-114.0219679
Residential,1,RAMSAY,CENTRE,2158,1135,552,751,94,3,54,50,1123,1021,1318,51.037727,-114.041219
Residential,1,RANCHLANDS,NORTHWEST,7607,3076,1838,1467,273,0,285,957,3783,3815,4004,51.1200131,-114.1864052
Residential,1,RED CARPET,EAST,1594,908,616,0,0,0,400,0,826,763,742,51.0413072,-113.9406796
Residential,1,REDSTONE,NORTHEAST,5848,1828,1373,1040,274,2,0,486,2941,2883,3181,51.170807,-113.957483
Residential,1,RENFREW,CENTRE,6582,3479,1718,1436,286,8,898,491,3235,3338,4199,51.0625721,-114.0416873
Residential,1,RICHMOND,CENTRE,4962,2503,1406,1035,642,47,462,155,2525,2409,2930,51.0314389,-114.1154865
Residential,1,RIDEAU PARK,CENTRE,594,342,228,131,0,0,188,23,288,305,218,51.0243435,-114.0735992
Residential,1,RIVERBEND,SOUTHEAST,9244,3474,3069,3240,47,0,0,150,4657,4576,4428,50.9742294,-114.0149992
Residential,1,ROCKY RIDGE,NORTHWEST,8398,3181,2442,1872,247,0,490,568,4072,4312,4106,51.1432739,-114.2427224
Residential,1,ROSEDALE,CENTRE,1560,625,471,572,0,0,36,4,781,768,637,51.0646322,-114.0822396
Residential,1,ROSEMONT,CENTRE,1254,569,314,309,173,0,19,0,628,623,676,51.075345,-114.090674
Residential,1,ROSSCARROCK,WEST,3625,1715,439,424,511,9,385,102,1775,1844,2171,51.0426942,-114.1498688
Residential,1,ROXBORO,CENTRE,422,154,142,154,0,0,0,0,226,196,157,51.0271244,-114.0687076
Residential,1,ROYAL OAK,NORTHWEST,11706,4082,3325,2897,118,0,609,450,5698,5990,5975,51.1442556,-114.2235981
Industrial,2,ROYAL VISTA,NORTHWEST,0,1,0,1,0,0,0,0,0,0,0,51.1520832,-114.203685
Residential,1,RUNDLE,NORTHEAST,11688,3834,2171,2218,174,0,0,1111,5975,5696,5847,51.0732332,-113.9693069
Residential,1,RUTLAND PARK,WEST,2263,978,341,310,45,0,95,491,1091,1168,1010,51.0218468,-114.1359435
Residential,1,SADDLE RIDGE,NORTHEAST,22321,6266,4092,4035,334,2,720,410,11203,11078,12179,51.1297064,-113.9447956
Industrial,2,SADDLE RIDGE INDUSTRIAL,NORTHEAST,25,15,0,15,0,0,0,0,0,0,0,51.1256359,-113.9767202
Residential,1,SAGE HILL,NORTH,7924,3172,2321,1614,99,97,625,733,3802,4092,4598,51.1789747,-114.1458678
Residential,1,SANDSTONE VALLEY,NORTH,5904,2133,1725,1678,44,0,0,385,2908,2972,2500,51.1373253,-114.0988418
Residential,1,SCARBORO,CENTRE,931,339,278,329,0,0,0,0,481,448,393,51.0399013,-114.1067268
Residential,1,SCARBORO/ SUNALTA WEST,CENTRE,401,167,131,163,0,0,0,0,204,189,176,51.0410515,-114.1147281
Residential,1,SCENIC ACRES,NORTHWEST,8067,2928,2708,2666,162,0,0,75,3974,4067,3211,51.1197407,-114.2180019
Residential,1,SETON,SOUTHEAST,1134,973,137,148,73,2,614,128,480,648,479,50.8748779,-113.9489154
Residential,1,SHAGANAPPI,CENTRE,1626,855,338,367,127,8,228,38,817,800,1058,51.0429389,-114.1245986
Residential,1,SHAWNEE SLOPES,SOUTH,1911,848,619,471,96,0,187,93,884,1022,673,50.925362,-114.0838337
Residential,1,SHAWNESSY,SOUTH,9368,3323,2506,2681,56,0,257,264,4686,4648,4630,50.9085388,-114.0851646
Industrial,2,SHEPARD INDUSTRIAL,SOUTHEAST,255,150,126,0,0,0,0,0,126,103,88,50.9652406,-113.9962851
Residential,1,SHERWOOD,NORTH,6246,2079,1356,1349,1,0,480,221,3086,3147,3542,51.1595638,-114.148693
Residential,1,SIGNAL HILL,WEST,13395,5187,4588,3405,413,0,971,387,6337,7009,5254,51.023313,-114.1762331
Residential,1,SILVER SPRINGS,NORTHWEST,8679,3563,2791,2547,209,0,241,546,4280,4378,3622,51.109649,-114.1954015
Residential,1,SILVERADO,SOUTH,7655,2588,2012,1839,143,1,138,463,3792,3811,4272,50.8843663,-114.0780347
Industrial,2,SKYLINE EAST,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.0983222,-114.0353819
Industrial,2,SKYLINE WEST,NORTH,0,0,0,0,0,0,0,0,0,0,0,51.0972185,-114.0476214
Residential,1,SKYVIEW RANCH,NORTHEAST,11707,4175,2636,1439,230,16,1965,464,5731,5737,6938,51.160534,-113.9581353
Residential,1,SOMERSET,SOUTH,8543,3161,2306,2176,0,0,784,169,4214,4299,4387,50.8987423,-114.0833678
Industrial,2,SOUTH AIRWAYS,NORTHEAST,0,1,0,0,0,0,0,0,0,0,0,51.0776821,-114.0141162
Residential,1,SOUTH CALGARY,CENTRE,4442,2568,1048,583,321,114,1061,377,2204,2231,2973,51.0261348,-114.1019068
Industrial,2,SOUTH FOOTHILLS,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,50.9720473,-113.9712264
Residential,1,SOUTHVIEW,EAST,1805,837,397,584,26,44,15,52,969,831,853,51.0338919,-113.9946974
Residential,1,SOUTHWOOD,SOUTH,6246,2673,1404,1377,291,32,334,521,3114,3113,3303,50.9572479,-114.0838187
Residential,1,SPRINGBANK HILL,WEST,9943,3372,2828,2604,192,0,513,58,4937,4985,4844,51.0289259,-114.2097933
Residential,1,SPRUCE CLIFF,WEST,4673,2431,841,317,127,0,1765,141,2187,2480,2433,51.0497063,-114.1386332
Residential,1,ST. ANDREWS HEIGHTS,CENTRE,1795,648,328,406,0,0,108,132,860,933,745,51.0637561,-114.1246327
Industrial,2,STARFIELD,EAST,0,2,0,2,0,0,0,0,0,0,0,50.9982367,-113.9395978
Industrial,2,STONEGATE LANDING,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.1635206,-113.9850422
Industrial,2,STONEY 1,NORTH,0,3,0,3,0,0,0,0,0,0,0,51.1798808,-113.9844416
Industrial,2,STONEY 2,NORTHEAST,0,7,0,0,0,0,0,0,0,0,0,51.16501205,-114.22126790857871
Industrial,2,STONEY 3,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.1798808,-113.9844416
